title,url,type,date,summary
To Diploma or Not to Diploma?,https://opened.co/blog/to-diploma-or-not-to-diploma,blog,2024-08-28,"College without a high school diploma? Yes! Learn alternative paths including early college credits, portfolios, and non-traditional routes to success."
Why Kids Lose Their Love of Learning (And How to Prevent It),https://opened.co/blog/why-kids-lose-their-love-of-learning-and-how-to-prevent-it,blog,2025-02-13,"The natural curiosity of a child is a precious thing. Yet somewhere between early childhood and adolescence, many children lose their innate love of learning."
What Courses & Providers Are Included In Your OpenEd UFA Package?,https://opened.co/blog/what-courses-providers-are-included-in-your-opened-ufa-package,blog,2024-11-13,"UFA recipients save $500 on OpenEd learning bundles: Premium courses, 30+ educational apps, and daily clubs. ClassWallet vendor with flexible packages."
Free Homeschool Curriculum: The OpenEd Complete Guide to Quality Resources on a Budget,https://opened.co/blog/free-homeschool-curriculum-the-opened-complete-guide-to-quality-resources-on-a-budget,blog,2025-02-28,"Free homeschool curriculum that works. Complete guide to quality math, science, and language arts resources proven by families."
What Resources Are Included In Your OpenEd UFA Package?,https://opened.co/blog/what-resources-are-included-in-your-opened-ufa-package-2,blog,2024-11-13,
A Beginner's Guide to Microschools – the Educational Trend Growing Faster than Homeschooling,https://opened.co/blog/a-beginners-guide-to-microschools-the-educational-trend-growing-faster-than-homeschooling,blog,2025-02-26,"Microschool revolution: 220% growth in hybrid learning as families create personalized education communities. Learn benefits, models, and how to start one."
How to Create a Thriving Educational Micro-Community: The Complete Guide | Eleyah Knight,https://opened.co/blog/how-to-create-a-thriving-educational-micro-community-the-complete-guide-eleyah-knight,blog,2025-03-05,"Educational micro-communities are transforming learning: Small groups of 5-15 students create personalized, real-world education. Get our complete startup guide."
Why Traditional Schools Create Dependent Learners | Tyler Thigpen,https://opened.co/blog/why-traditional-schools-create-dependent-learners-tyler-thigpen,blog,2025-02-18,"Self-directed learning guide 2025: Why students who control their education outperform peers, plus practical steps for parents to get started today."
Attention Class of 2026,https://opened.co/blog/attention-class-of-2026,announcements,2025-03-07,"For all high school students who complete the program, we’re excited to provide you with an OpenEd Certificate of Completion. The OpenEd Certificate represents the culmination of a student’s achievement in the most flexible, student-tailored education program in the world and can be used to mark an important milestone for OpenEd students."
Stop Overscheduling Your Child's Learning | Matt Bowman,https://opened.co/blog/stop-overscheduling-your-childs-learning-matt-bowman,blog,2025-03-10,"""I'm not qualified enough."" ""What if I make the wrong choice?"" ""Can I really do this?""

These thoughts plague almost every parent considering the journey into homeschooling or open education.
– Tyler Thigpen, Founder of The Forest School"
Your kid will be weird (and that's okay) | TK Coleman on the homeschooling socialization question,https://opened.co/podcast/your-kid-will-be-weird-and-thats-okay-tk-coleman-on-the-homeschooling-socialization-question,podcast,2025-04-17,"The education maverick explains why the socialization question has it all backwards""I'm going to make this an adventure school,"" she decided, creating a mobile learning environment for teens."
SmartPath: The AI-Powered Homeschool Curriculum Finder That Eliminates Decision Fatigue,https://opened.co/blog/smartpath-the-ai-powered-homeschool-curriculum-finder-that-eliminates-decision-fatigue,blog,2025-04-01,"The homeschool curriculum marketplace has exploded in recent years. Parents now face thousands of options across dozens of teaching philosophies, making the simple question of ""what should my child learn?"" surprisingly complex."
"Coach Meg Thomas: How I Built a Self-Managing Homeschool of 7 kids with the ""Successful Six""",https://opened.co/blog/coach-meg-thomas-how-i-built-a-self-managing-homeschool-of-7-kids-with-the-successful-six,blog,2025-03-25,"When homeschool feels overwhelming, the solution isn't more curriculum or better scheduling — it's building a family culture where children learn to manage themselves. Veteran homeschool mom Meg Thomas shares how she transformed her chaotic household into a thriving, independent learning environment while raising seven capable kids."
12 Best Homeschool Podcasts for Personalized Education in 2025,https://opened.co/blog/12-best-homeschool-podcasts-for-personalized-education-in-2025,blog,2025-04-15,"12 best homeschool podcasts for busy parents: Listen while driving or doing chores. Get expert advice on curriculum, organization, and personalized learning."
A New Approach to Curriculum Access,https://opened.co/blog/a-new-approach-to-curriculum-access,blog,2025-04-03,"OpenEd launches curriculum marketplace: Mix and match resources from top providers with pre-filled libraries, flexible ordering, and direct wallet funding."
Is Homeschooling the Wrong Word? (We're Only Home 3 Hours a Day) | Maecy Palkki,https://opened.co/podcast/is-homeschooling-the-wrong-word-were-only-home-3-hours-a-day-maecy-palkki,podcast,2025-04-10,"When most people hear “homeschooling,” they picture kitchen tables and worksheets, with parents mimicking traditional classrooms. But for many modern families, that couldn’t be further from reality.
""I'm going to make this an adventure school,"" she decided, creating a mobile learning environment for teens."
